place_id,action,class,keeper,instruction,source,google_name,other_rows
ChIJ-TAkCMbjf0cRypwdP0VB2C4,KEEP_PIN_HOME,UNCLASSIFIED,Alto Ristorante [fiorano-modenese],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Alto Ristorante,Alto Ristorante [caracas] | Alto Ristorante [cervia] | Alto Ristorante [hong-kong]
ChIJ-cwofMkLkkYRBipdZNu328c,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Demo [helsinki],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Demo,Restaurant Demo [vilnius] | Restaurant Demo [santiago]
ChIJ0dc45VMJOxMRAIBNNu6Bo8I,KEEP_PIN_HOME,UNCLASSIFIED,ARIA [naples],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Aria Restaurant,Aria Restaurant [atlanta]
ChIJ2bqzA1Nz9YgRM37M-n72Lg4,KEEP_PIN_HOME,UNCLASSIFIED,Table & Main [roswell],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Table & Main,Table & Main [atlanta]
ChIJ2fnOafRqlVQRQDKUQLAY1oI,KEEP,MERGE,jory [newberg],merge portland + willamette-valley rows into one venue; CREATE city newberg; old slugs non-canonical,verified-pass-2026-08-24,JORY Restaurant,JORY Restaurant [portland] | JORY Restaurant [willamette-valley-oregon]
ChIJ3zy8ZcgZ2jERagAaSeDB9bI,KEEP_PIN_HOME,UNCLASSIFIED,PUTIEN Kitchener Road [singapore],machine pass: pin-home + name test; other-row class pending,dryrun-v2,PUTIEN Kitchener Road,PUTIEN Kitchener Road [hong-kong]
ChIJ4Sv3o_9agUcROCSRC0X4C90,KEEP,TWIN,da-vittorio [brusaporto],"id belongs to Brusaporto (3*); St. Moritz + Shanghai are own venues, own ids, renamed Da Vittorio St. Moritz / Da Vittorio Shanghai",verified-pass-2026-08-24,Da Vittorio,Da Vittorio [brusaporto] | Da Vittorio [saint-moritz]
ChIJ4TM2yHM51YkRIYvISIG7JtQ,KEEP_PIN_HOME,UNCLASSIFIED,Sundays Restaurant [uxbridge],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Sundays Restaurant,Sundays Restaurant [queenstown]
ChIJ4ezbhuM0jEcR8m6BMd-ubTw,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Fleur de Sel [cossonay],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Fleur de Sel,Restaurant Fleur de Sel [honfleur]
ChIJ4xnzvx31e0gRtti7Aj3ZaaY,KEEP,PHANTOM,the-angel-at-hetton [hetton],beersel row does not exist - DELETE row,verified-pass-2026-08-24,The Angel at Hetton,The Angel at Hetton [hetton] | The Angel at Hetton [beersel]
ChIJ5TBu3kCjiYURH_drhloRzSA,KEEP_PIN_HOME,UNCLASSIFIED,Sublime [guatemala-city],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Sublime Restaurante,Sublime Restaurante [tokyo]
ChIJ5w_XBmF1FEcRj7A8SXUrZNw,KEEP_PIN_HOME,UNCLASSIFIED,Miura Hotel [celadna],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Miura Hotel,Miura Hotel [los-angeles]
ChIJ65H_GWBN8DURag4RO0UVLDc,KEEP_PIN_HOME,UNCLASSIFIED,Temple of Heaven [beijing],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Temple of Heaven,Temple of Heaven [kyoto]
ChIJ6Tmh3bx9lUcRogoGH2j1bnQ,KEEP_PIN_HOME,UNCLASSIFIED,Bagatelle [trier],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Bagatelle,Bagatelle [dole]
ChIJ6WJrhG0Z2jERFtVbDrD08jM,KEEP_PIN_HOME,UNCLASSIFIED,Meta Restaurant [singapore],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Meta Restaurant,Meta Restaurant [lugano]
ChIJ6WTjLENZwokRsU3IurxvnCI,KEEP_PIN_HOME,UNCLASSIFIED,YOSHINO • NEW YORK [new-york],machine pass: pin-home + name test; other-row class pending,dryrun-v2,YOSHINO • NEW YORK,YOSHINO • NEW YORK [tokyo]
