"row","keep_venue_id","keep_venue_name","city_slug","keep_venue_status","legacy_michelin_category","keep_other_awards","twin_venue_id","twin_name_michelin","twin_2026_category","twin_created_by_france_batch","type","confidence","reason","decision"
"1","ve_77ea00d9e9","Les Galinas - La Table Provençale","aix-en-provence","active","Bib Gourmand","0","ve_6cb8efefd0","Les Galinas","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"2","ve_30f92fd38d","La Bistronomie Angoulême","angouleme","active","Bib Gourmand","0","ve_532f8fef0e","La Bistronomie","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"3","ve_566ff18e1b","Maison Benoît Vidal - Sur les Bois","annecy","active","Two Stars","1","ve_ed0dd9c1b8","Maison Benoît Vidal","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"4","ve_ce8aa0328e","Louroc Restaurant","antibes","active","One Star","0","ve_e2e5e930de","Louroc - Hôtel du Cap-Eden-Roc","One Star","yes","merge","high","old name is Louroc plus ""Restaurant""; only same-city candidate","merge"
"5","ve_b7791eab98","Restaurant Gastronomique Les Pêcheurs Antibes","antibes","active","One Star","0","ve_ece2edc5ed","Les Pêcheurs","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"6","ve_0c9a3c0244","Restaurant Le Bistronôme Lisa/Jérôme","arbois","active","Bib Gourmand","0","ve_07981e680b","Le Bistronôme","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"7","ve_d0e893cfa9","Vertfeuille Restaurant & hôtel","arc-et-senans","active","Bib Gourmand","0","ve_fcbb3edcd2","Vertfeuille","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"8","ve_8e42976446","Maison Nacre - Restaurant gastronomique","ares","active","One Star","0","ve_58158be0ee","Nacre","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"9","ve_82ebb80e2e","Hostellerie De La Renaissance","argentan","active","One Star","0","ve_867d7b4d39","La Renaissance","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"10","ve_07ae922533","Hôtel Restaurant de la plage","audresselles","active","Bib Gourmand","0","ve_bfac63290c","La Plage","Bib Gourmand","yes","merge","medium","Michelin name La Plage is short and generic; same town, same Bib. Checked Sep 15: recommend merge","merge"
"11","ve_4f07a8ac1b","Les Aryelets","aulon","active","Bib Gourmand","0","ve_bd25d327e9","Auberge des Aryelets","Bib Gourmand","yes","merge","high","same name with ""Auberge des""; only same-city candidate","merge"
