line,verdict,reason,source_id,year,rank,category,distinction,venue_name,city_label,country_label,resolved_city,candidates,decision
2,review_city,city_not_found,michelin,2026,,Three Stars,,La Marine,L'Herbaudière,France,,,
82,review_city,city_not_found,michelin,2026,,Two Stars,,Paul Bocuse,Collonges-au-Mont-d'Or,France,,,
123,review_venue,same_key_other_city,michelin,2026,,One Star,,Louise,Lorient,France,lorient,"use:ve_8fde5a47ce (LOUISE, Hong Kong, active)",
126,review_city,city_not_found,michelin,2026,,One Star,,La Table d'Asten,Binic,France,,,
146,review_city,city_not_found,michelin,2026,,One Star,,Auberge du Pont d'Acigné,Noyal-sur-Vilaine,France,,,
147,review_city,city_not_found,michelin,2026,,One Star,,La Table des Pères - Domaine du Château des Pères,Piré-Chancé,France,,,
161,review_city,city_not_found,michelin,2026,,One Star,,L'Éveil des Sens,Mayenne,France,,,
166,review_venue,same_key_other_city,michelin,2026,,One Star,,L'Essentiel,Deauville,France,deauville,"use:ve_0cc3262ff1 (L'Essentiel, Saumur, active) | use:ve_765c1b6aa3 (L'Essentiel, Périgueux, active) | use:ve_fa0a74ade5 (L'Essentiel, Temploux, active)",
173,review_city,city_not_found,michelin,2026,,One Star,,La Table de la Bergerie,Bellevigne-en-Layon,France,,,
176,review_city,city_not_found,michelin,2026,,One Star,,L'Auberge de Bagatelle,Le Mans,France,,,
178,review_city,city_not_found,michelin,2026,,One Star,,Fontevraud L'Ermitage,Fontevraud-l'Abbaye,France,,,
182,review_city,city_not_found,michelin,2026,,One Star,,Le Patio,Arcachon,France,,,
183,review_city,city_not_found,michelin,2026,,One Star,,Haut Bonheur de la Table,Cassel,France,,,
196,review_city,city_not_found,michelin,2026,,One Star,,La Table de Cédric Béchade - L'Auberge Basque,Saint-Pée-sur-Nivelle,France,,,
201,review_city,city_not_found,michelin,2026,,One Star,,L'Évidence,Montbazon,France,,,
208,review_city,city_not_found,michelin,2026,,One Star,,Le Georges,Chartres,France,,,
296,review_venue,norm_key_too_short,michelin,2026,,One Star,,ES,Paris,France,paris,,
336,review_venue,norm_key_too_short,michelin,2026,,One Star,,AT,Paris,France,paris,,
345,review_city,city_not_found,michelin,2026,,One Star,,L'Ours,Vincennes,France,,,
348,review_venue,same_key_other_city,michelin,2026,,One Star,,L'Orangerie,Eugénie-les-Bains,France,eugenie-les-bains,"use:ve_754e0eb50d (L'Orangerie, Pornic, active) | use:ve_ae34100f94 (L'Orangerie, Menton, active) | use:ve_d356968485 (L'Orangerie, Paris, active)",
371,review_city,city_not_found,michelin,2026,,One Star,,Alcôve,Vinay,France,,,
377,review_city,city_not_found,michelin,2026,,One Star,,Les Jardins,Parnac,France,,,
