"row","keep_venue_id","keep_venue_name","city_slug","keep_venue_status","legacy_michelin_category","keep_other_awards","twin_venue_id","twin_name_michelin","twin_city_slug","twin_2026_category","twin_created_by_italy_batch","type","confidence","reason","decision"
"1","ve_adff29d159","Ai Burattini di Bellini Gianmarco","adrara-san-martino","active","Bib Gourmand","0","ve_999bef458c","Ai Burattini","adrara-san-martino","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"2","ve_3170a831fd","Ristorante Nove","alassio","active","One Star","0","ve_b3c9ae4cb8","Nove","alassio","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"3","ve_db08130e8b","Krone Inn","aldino","active","Bib Gourmand","0","ve_ce70a58d4e","Krone","aldino","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"4","ve_433a07c202","Schlosswirt FORST","algund","active","One Star","1","ve_f86bbb90fb","Luisl Stube","algund","One Star","yes","merge","medium","Schlosswirt Forst is the hotel; Luisl Stube is its starred restaurant; only candidate",""
"5","ve_e829673e77","Ristorante Casin Del Gamba","altissimo","active","One Star","0","ve_9c29fa01e4","Casin del Gamba","altissimo","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"6","ve_5ee4c9ac48","Ristorante La Caravella dal 1959","amalfi","active","One Star","0","ve_7acd66dd22","La Caravella dal 1959","amalfi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"7","ve_3966de7fe6","Sensi Restaurant","amalfi","active","One Star","0","ve_38686dfb45","Sensi","amalfi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"8","ve_eeb2006f97","Terrazza Glicine | Seaview Restaurant","amalfi","active","One Star","0","ve_4776254443","Glicine","amalfi","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"9","ve_5cc73e10ce","L'Olivo - Jumeirah Capri Palace","anacapri","active","Two Stars","1","ve_c85f34549f","L'Olivo","anacapri","Two Stars","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"10","ve_1ba2f22b34","Ristorante Sot'Ajarchi","ancona","active","Bib Gourmand","0","ve_3760b5881f","Sot'Ajarchi","ancona","Bib Gourmand","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"11","ve_a951f0a01b","Ristorante Vignamare","andora","active","One Star","0","ve_f28c0d21b2","Vignamare","andora","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
"12","ve_9550fda04b","Vecchio Ristoro - Ristorante in Aosta","aosta","active","One Star","0","ve_1b074885e1","Vecchio Ristoro","aosta","One Star","yes","merge","high","same city and category; Michelin name is inside the old name","merge"
