line,verdict,reason,source_id,year,rank,category,distinction,venue_name,city_label,country_label,resolved_city,candidates,decision
18,review_venue,norm_key_too_short,michelin,2026,,Two Stars,,D'O,Cornaredo,Italy,milan,,
69,review_city,city_not_found,michelin,2026,,One Star,,Il Patio,Biella,Italy,,,
89,review_city,city_not_found,michelin,2026,,One Star,,Il Ristorante di Guido da Costigliole,Santo Stefano Belbo,Italy,,,
90,review_city,city_not_found,michelin,2026,,One Star,,Acqua,Olgiate Olona,Italy,,,
102,review_venue,same_key_other_city,michelin,2026,,One Star,,Olmo,Cornaredo,Italy,milan,"use:ve_8184221c2f (Olmo, New York, active)",
109,review_venue,same_key_other_city,michelin,2026,,One Star,,Anima,Milan,Italy,milan,"use:ve_d5e1ca405a (ANIMA, Tuttlingen, active)",
151,review_city,city_not_found,michelin,2026,,One Star,,Leon d'Oro,Pralboino,Italy,,,
159,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Zur Rose,San Michele,Italy,san-michele,"use:ve_d83e7a528d (Restaurant Zur Rose, San Michele, active)",
170,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Apostelstube,Brixen,Italy,brixen,"use:ve_9a94371119 (Restaurant Apostelstube, Brixen, active)",
211,review_city,city_not_found,michelin,2026,,One Star,,Locanda San Lorenzo,Puos d'Alpago,Italy,,,
217,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,I Portici,Bologna,Italy,bologna,"use:ve_8bb6e8be1b (Hotel I Portici, Bologna, active)",
222,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,La Pineta,Marina di Bibbona,Italy,marina-di-bibbona,"use:ve_da8a4aecdd (Restaurant La Pineta, Marina di Bibbona, active)",
233,review_venue,same_key_other_city,michelin,2026,,One Star,,Gucci Osteria da Massimo Bottura,Florence,Italy,florence,"use:ve_b9c32ddde1 (Gucci Osteria da Massimo Bottura, Tokyo, active)",
262,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Il Pellicano,Porto Ercole,Italy,porto-ercole,"use:ve_27872430f3 (Hotel Il Pellicano, Porto Ercole, active)",
303,review_city,city_not_found,michelin,2026,,One Star,,Zunica 1880 a Villa Corallo,Sant'Omero,Italy,,,
304,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Colline Ciociare,Acuto,Italy,acuto,"use:ve_be0ea460dd (Le Colline Ciociare, Acuto, active)",
309,review_city,city_not_found,michelin,2026,,One Star,,Villa Maiella,Guardiagrele,Italy,,,
329,review_venue,same_key_other_city,michelin,2026,,One Star,,Don Alfonso 1890,Sant'Agata sui Due Golfi,Italy,santagata-sui-due-golfi,"use:ve_7a19b6c414 (Don Alfonso 1890, Massa Lubrense, active) | use:ve_beaa5c8d8e (Don Alfonso 1890, Macau, active) | use:ve_ccd4d1ec94 (Don Alfonso 1890, Toronto, active)",
347,review_city,city_not_found,michelin,2026,,One Star,,Oasis - Sapori Antichi,Vallesaccarda,Italy,,,
357,review_city,country_label_disagrees,michelin,2026,,One Star,,Signum,Malfa,Italy,,"city:ci_ef76cfb9a4 (Mölnlycke, Sweden)",
395,review_city,city_not_found,michelin,2026,,Bib Gourmand,,La Pineta,Sant'Anna,Italy,,,
441,review_venue,loose_key_candidate_in_city,michelin,2026,,Bib Gourmand,,L'Ostreria Fratelli Pavesi,Podenzano,Italy,podenzano,"use:ve_153ba08994 (Ostreria Fratelli Pavesi, Podenzano, active)",
477,review_venue,loose_key_candidate_in_city,michelin,2026,,Bib Gourmand,,Foresta,Moena,Italy,moena,"use:ve_25b2909f17 (Hotel Foresta, Moena, active)",
538,review_city,city_not_found,michelin,2026,,Bib Gourmand,,Osteria Bartolini,Milano Marittima,Italy,,,
597,review_city,city_not_found,michelin,2026,,Bib Gourmand,,La Torre One Fire,Annunziata,Italy,,,
