line,verdict,reason,source_id,year,rank,category,distinction,venue_name,city_label,country_label,resolved_city,candidates,decision
11,review_venue,loose_key_candidate_in_city,michelin,2026,,Three Stars,,Quique Dacosta,Dénia,Spain,denia,"use:ve_973c665f77 (Restaurant Quique Dacosta, Dénia, active)",
12,review_venue,loose_key_candidate_in_city,michelin,2026,,Three Stars,,ABaC,Barcelona,Spain,barcelona,"use:ve_463f581253 (Restaurant ABaC, Barcelona, active)",
17,review_venue,norm_key_too_short,michelin,2026,,Two Stars,,M.B,Guía de Isora,Spain,guia-de-isora,,
36,review_venue,same_key_other_city,michelin,2026,,Two Stars,,Molino de Urdániz,Urdaitz,Spain,urdaniz,"use:ve_46199fee65 (Molino de Urdániz, Taipei, active)",
51,review_venue,loose_key_candidate_in_city,michelin,2026,,Two Stars,,Miramar,Llançà,Spain,llanca,"use:ve_9b6f15d6d5 (Restaurant Miramar, Llançà, active)",
61,review_venue,same_key_other_city,michelin,2026,,One Star,,Terra,Fisterra,Spain,fisterra,"use:ve_91370c2e55 (Terra, Singapore, active) | use:ve_fc4ee8a2b6 (Terra, Stainz, active)",
68,review_venue,same_key_other_city,michelin,2026,,One Star,,Casa Marcelo,Santiago de Compostela,Spain,santiago-de-compostela,"use:ve_bdf75c92d6 (Casa Marcelo, Ensenada, active)",
103,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Alquimia - Laboratorio,Valladolid,Spain,valladolid,"use:ve_1ca4fbb861 (Alquimia, Valladolid, active)",
188,review_venue,same_key_other_city,michelin,2026,,One Star,,Blossom,Malaga,Spain,malaga,"use:ve_9d548b5d3b (Blossom, Shanghai, active) | use:ve_b8f3f54bc6 (Blossom, Las Vegas, active)",
214,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Malena,Gimenells,Spain,gimenells,"use:ve_90fc8e3a19 (Restaurant Malena, Gimenells, active)",
215,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Fogony,Sort,Spain,sort,"use:ve_142c17ad36 (Restaurant Fogony, Sort, active)",
231,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Llavor,Oropesa del Mar,Spain,oropesa-del-mar,"use:ve_c8263ee30f (Restaurant Llavor, Oropesa del Mar, active)",
235,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Rubén Miralles,Vinaròs,Spain,vinaros,"use:ve_29600bc192 (Restaurant Rubén Miralles, Vinaròs, active)",
236,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Raúl Resino,Benicarló,Spain,benicarlo,"use:ve_19e9e78a94 (Restaurant Raúl Resino, Benicarló, active)",
241,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Can Bosch,Cambrils,Spain,cambrils,"use:ve_3ff125c79e (Restaurant Can Bosch, Cambrils, active)",
245,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Casa Pepa,Ondara,Spain,ondara,"use:ve_33dde97059 (Restaurant Casa Pepa, Ondara, active)",
247,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,La Fonda Xesc,Gombrèn,Spain,gombren,"use:ve_93647eb9bc (Restaurant Fonda Xesc, Gombrèn, active)",
248,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Peix & Brases,Dénia,Spain,denia,"use:ve_d1d9b9d078 (Restaurant Peix & Brases, Dénia, active)",
249,review_venue,norm_key_too_short,michelin,2026,,One Star,,L'Ó,Sant Fruitós de Bages,Spain,sant-fruitos-de-bages,,
254,review_venue,same_key_other_city,michelin,2026,,One Star,,Sala,Olost,Spain,olost,"use:ve_fd3f9b0e88 (Sála, Lisbon, active)",
259,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Angle,Barcelona,Spain,barcelona,"use:ve_190706df89 (L'Angle, Barcelona, active)",
261,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Hofmann,Barcelona,Spain,barcelona,"use:ve_f363115bdf (Restaurant Hofmann, Barcelona, active)",
263,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Prodigi,Barcelona,Spain,barcelona,"use:ve_21e1753194 (Restaurant Prodigi, Barcelona, active)",
279,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Tresmacarrons,El Masnou,Spain,el-masnou,"use:ve_b25107faab (Restaurant Tresmacarrons, El Masnou, active)",
282,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Esperit Roca,Sant Julià de Ramis,Spain,sant-julia-de-ramis,"use:ve_b21f7a8d89 (Restaurant Esperit Roca, Sant Julià de Ramis, active)",
286,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Empòrium,Castelló d'Empúries,Spain,castello-dempuries,"use:ve_8cbe7e38cb (Hotel Empòrium, Castelló d'Empúries, active)",
287,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Els Tinars,Llagostera,Spain,llagostera,"use:ve_a4c6753c0b (Restaurant Els Tinars, Llagostera, active)",
296,review_venue,loose_key_candidate_in_city,michelin,2026,,One Star,,Andreu Genestra,Llucmajor,Spain,llucmajor,"use:ve_9af3473f0b (Restaurant Andreu Genestra, Llucmajor, active)",
