venue_id,reason,name_now,michelin_prints,michelin_card_url,venue_website_url,decision
ve_0500893ff4,spaced dash - ruling 2 check not possible,Villa Mirasol,Villa Mirasol - Bistrot 1912,https://guide.michelin.com/en/nouvelle-aquitaine/mont-de-marsan/restaurant/villa-mirasol-bistrot-1912,,
ve_12e5bf15ad,spaced dash - ruling 2 check not possible,Restaurant Le Pré,Le Pré - Xavier Beaudiment,https://guide.michelin.com/en/auvergne-rhone-alpes/clermont-ferrand/restaurant/le-pre-xavier-beaudiment,,
ve_2bd91023d9,spaced dash - ruling 2 check not possible,L'Atelier de Joël Robuchon Étoile,L'Atelier de Joël Robuchon - Étoile,https://guide.michelin.com/en/ile-de-france/paris/restaurant/l-atelier-de-joel-robuchon-etoile,,
ve_30501b82cb,spaced dash - ruling 2 check not possible,Restaurant Nicolas Carro,Nicolas Carro - Hôtel de Carantec,https://guide.michelin.com/en/bretagne/carantec/restaurant/nicolas-carro,,
ve_3a24173df2,spaced dash - ruling 2 check not possible,Fresques,Les Fresques - Hôtel Royal,https://guide.michelin.com/en/auvergne-rhone-alpes/evian-les-bains/restaurant/les-fresques400460,,
ve_4dd54878f0,spaced dash - ruling 2 check not possible,Maison vidal,Maison Vidal - Le Bistrot de Justin,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-julien-chapteuil/restaurant/maison-vidal-le-bistrot-de-justin,,
ve_4e77c0295c,spaced dash - ruling 2 check not possible,L’Auberge De Saint-Rémy,L'Auberge de Saint-Rémy - Fanny Rey & Jonathan Wahid,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-rmy-de-provence/restaurant/l-auberge-de-saint-remy-fanny-rey-and-jonathan-wahid,,
ve_500702a2cd,spaced dash - ruling 2 check not possible,La Vague d'Or,La Vague d'Or - Cheval Blanc St-Tropez,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-tropez/restaurant/la-vague-d-or-cheval-blanc-st-tropez,,
ve_52ded554a8,spaced dash - ruling 2 check not possible,Ryoko - Comptoir à Ramen,Ryoko - Comptoir à ramen,https://guide.michelin.com/en/bretagne/vannes/restaurant/ryoko,,
ve_54db80a526,spaced dash - ruling 2 check not possible,La Table By Mi - K'L,La Table By Mi-K'L,https://guide.michelin.com/en/pays-de-la-loire/saumur/restaurant/la-table-by-mi-k-l,,
